Anho,Ciclo,Idalumno,Cod.Car.Sec,Avandono,CantidadMaterias
2017,2,1156,ELE-PLS13 ,0,5
2020,1,1158,IND-PLS13 ,0,6
2021,1,1158,IND-PLS13 ,0,4
2017,2,1159,IND-PLS13 ,0,2
2019,1,1160,ELE-PLS13 ,1,5
2019,2,1160,ELE-PLS13 ,1,3
2020,1,1160,ELE-PLS13 ,1,5
2017,2,1161,IND-PLS13 ,0,5
2021,2,1163,CGF-PLS13 ,1,3
2022,1,1163,CGF-PLS13 ,0,1
2021,2,1164,CIV-PLS13 ,0,4
2022,1,1164,CIV-PLS13 ,0,4
2016,2,1167,CIV-PLS13 ,0,3
2021,2,1170,IND-PLS13 ,0,7
